original_index,match_result,score_reasons,score,distance_m,expected_type,textQuery,api_name,original_detail,api_types,api_formattedAddress,api_location,api_rating,api_userRatingCount,api_placeId,api_URI
1,ไม่ตรง,"distance<5km (+2), name_sim>0.6 (+1), district_match (+2)",5,1786.19,tourist_attraction,อ่างเก็บน้ำลำพอก ศีขรภูมิ สุรินทร์ ประเทศไทย,อ่างเก็บน้ำห้วยลำพอก (อ.ศีขรภูมิ),    อ่างเก็บน้ำลำพอก เป็นสถานที่กักเก็บน้ำเพื่อใช้ประโยชน์ในหน้าแล้งและหน้าฝน มีความหลากหลายทางด้านระบบนิเวศ เหมาะต่อการพักผ่อนหย่อนใจ ห้วยลำพอกมีต้นกำเนิดจากเชิงเขาพนมดงรักในท้องที่อำเภอกาบเชิง ไหลผ่านอำเภอสังขะที่ตำบลกระเทียม ผ่านท้องที่อำเภอลำดวน เรียก  ห้วยกำโพก  เข้าเขตอำเภอศีขรภูมิที่ตำบลตรมไพร เรียก ห้วยลำพอก ไหลเข้าตำบลจารพัต ตำบลระเเงง ลงอ่างเก็บน้ำลำพอกที่ตำบลยาง ไหลออกท้ายอ่าง ระหว่างตำบลยาง กับ ตำบลกุดหวาย เข้าเขตอำเภอสำโรงทาบ ไหลไปรวมกับห้วยทับทัน ที่บ้านกุดงิ้ว ตำบลหมื่นศรี อำเภอสำโรงทาบ กั้นเขตจังหวัดสุรินทร์กับจังหวัดศรีสะเกษ      ,"tourist_attraction, point_of_interest, establishment",WVM3+C29 ตำบล ยาง อำเภอ ศีขรภูมิ สุรินทร์ 32110,"{'latitude': 14.933548400000001, 'longitude': 103.8526205}",4.4,41.0,ChIJQxIzgedBFzER2EPT62xI8iA,https://maps.google.com/?cid=2374039586227831768&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
6,ไม่ตรง,"distance>=10km (+0), name_sim>0.92 (+4), district_match (+2)",6,14744.87,tourist_attraction,เกาะนกเภา ดอนสัก สุราษฎร์ธานี ประเทศไทย,เกาะนกเภา,            เกาะนกเภา เป็นเกาะเล็กๆ มีบ้านเรือนกว่า 50 หลังคาเรือน อาชีพหลักของชาวบ้านก็คือ การทำประมงชายฝั่ง  ปัจจุบันมีโฮมสเตย์ไว้บริการนักท่องเที่ยว จำนวน 2 แห่ง มีโรงเรียน อนามัย และสำนักสงฆ์  มีท่าเทียบเรือ เขื่อนกักเก็บน้ำ มีสะพานเลียบเกาะจากฝั่งอ่าวเทียนที่ชาวบ้านอาศัย ไปยังอ่าวกรวด  ซึ่งเป็นอ่าวที่เงียบสงบ  น่าพักผ่อน  สามารถปั่นจักรยาน  หรือจักรยานยนต์ ชมวิวทิวทัศน์ มีธรรมชาติ และอาหารทะเลสด ๆ จากชาวประมงบนเกาะ           การเดินทางจากตัวจังหวัดสุราษฎร์ธานีประมาณ 57 กิโลเมตร โดยใช้เส้นทางทางหลวง 401สุราษฎร์ธานี นครศรีธรรมราช เลี้ยวซ้ายที่สามแยกไฟแดงบ้านใน เข้าทางหลวง 4142 ไปอำเภอดอนสัก  เพื่อลงเรือที่จะเดินทางไปเกาะนกเภา เดินไปท่าเทียบเรือเล็กๆ ในตลาด คือ ท่าเรือไปเกาะพลวย เป็นเรือประมงเล็กๆ เพราะเกาะนกเภาอยู่ห่างฝั่งแค่ราว 5 กิโลเมตร ประมาณ 30 นาที ก็จะถึงท่าเทียบเรือที่ยื่นออกมาในทะเลที่เกาะนก          ช่วงฤดูที่เหมาะสมต่อการเดินทางท่องเที่ยวและทำกิจกรรมทางทะเล คือ ช่วงเดือนมกราคม   พฤษภาคม ของทุกปี                          การเดินทาง (Departure)     ลงเรือที่ท่าเรือสี่แยกโรงเป็ด (ใกล้ธนาคารกรุงไทย) ใช้เวลาเดินทางด้วยเรือหางยาวประมาณ 30 นาที ถ้านั่งสปีดโบ๊ทใช้เวลาแค่ 10 นาที     ,"administrative_area_level_4, political",เกาะนกเภา ตำบล ดอนสัก อำเภอ ดอนสัก สุราษฎร์ธานี,"{'latitude': 9.2810942, 'longitude': 99.7427775}",,,ChIJzd3MEp5lVDARKH_ReJSeE5g,https://maps.google.com/?cid=10958276678841892648&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
11,ไม่ตรง,"distance<200m (+5), name_sim>0.6 (+1)",6,169.64,park,ศูนย์การเรียนรู้ภูเพียงโมเดล   รักษ์ป่าน่าน เฉลิมพระเกียรติ น่าน ประเทศไทย,ภูเพียงโมเดล-รักษ์ป่าน่าน,การสร้างศูนย์การเรียนรู้ ภูเพียงโมเดล รักษ์ป่าน่าน เพื่อการบริหารจัดการโครงการที่มีประสิทธิภาพในการประสานงานกับเครือข่ายทั้งเกษตรกรใน พื้นที่ องค์กรผู้สนับสนุน องค์กรภาคีเครือข่ายในการแก้ไขปัญหาและพัฒนาสภาวะเศรษฐกิจครัวเรือนของ เกษตรกร ปัญหาป่าต้นน้ำ ฯลฯ รวมถึงการพัฒนาสู่ Phu Phiang Hup องค์กรที่ใช้ในการบริหารการขับเคลื่อน ภูเพียงโมเดลเป็นศูนย์กลางการเรียนรู้ที่ทำหน้าที่ในการบริหารจัดการตั้งแต่ต้นน้ำ กลางน้ำ ไปจนถึงปลายน้ำ หรือการจัดการตั้งแต่กระบวนการผลิต การแปรรูป ไปสู่ด้านการตลาด จึงมีความจำเป็นอย่างยิ่งในการก่อสร้าง ศูนย์การเรียนรู้ภูเพียงโมเดล รักษ์ป่าน่าน ให้มีความพร้อมและมีอาณาบริเวณที่เอื้อต่อการดำเนินงานต่อจากนี้ ศูนย์การเรียนรู้ภูเพียงโมเดล   รักษ์ป่าน่าน ได้ทำการใช้พื้นที่สวนรุกขชาติ ซึ่งเป็นที่ดินส่วนหนึ่ง ของวัดพระธาตุแช่แห้ง พระอารามหลวง ปัจจุบันเป็นพื้นที่รกร้าง มิได้นำไปใช้ทำการใด ๆ พระเดชพระคุณ พระชยานันทมุนีรศ.ดร. เจ้าอาวาสวัดพระธาตุแช่แห้ง พระอารามหลวง จึงได้ดำริให้ใช้พื้นที่ตรงนี้ในการสร้าง ศูนย์การเรียนรู้ภูเพียงโมเดล   รักษ์ป่าน่านขึ้น โดยจะต้องทำการพัฒนาระบบโครงสร้างพื้นฐาน ระบบน้ำ ระบบไฟฟ้า งานปรับภูมิทัศน์และอาคารสถานที่ ที่เอื้อต่อการดำเนินงาน ประสานงาน เป็นพื้นที่ในการผลิต วิจัย พัฒนาและรองรับการศึกษาดูงานจากเครือข่ายเกษตรกรและองค์กรเครือข่าย ซึ่งปัจจุบันได้มีการริเริ่ม ดำเนินการแล้วตั้งแต่ ช่วงเดือนตุลาคม ปี2564 ต้นทุนทั้ง 6 ด้าน หนึ่งในนั้น คือต้นทุนทางธรรมชาติ ศูนย์การเรียนรู้ภูเพียงโมเดล   รักษ์ป่าน่าน เรา มีต้นทุนทางธรรมชาติ และเราได้นำเข้าสู่กระบวนการแปรรูป นั้นคือ การปรับภูมิทัศน์สวนรุกขชาติแห่งนี้ ให้ เป็นศูนย์การเรียนรู้ฯ ให้เกิดเป็นแหล่งท่องเที่ยวทางธรรมชาติ การดำเนินงานในช่วงปีแรกนั้น จึงเป็นเรื่องของ การปรับ ภูมิทัศน์โดยรอบ เพื่อเป็นโมเดลในเรื่องการพัฒนาต้นทุนด้านธรรมชาติ,"point_of_interest, establishment",QQ6V+27Q ตำบล ฝายแก้ว อำเภอ ภูเพียง น่าน 55000,"{'latitude': 18.7598696, 'longitude': 100.791994}",,,ChIJiSJE-tWPJzERuPJnXjc5LeU,https://maps.google.com/?cid=16513918318607332024&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
19,ไม่ตรง,"distance<200m (+5), name_sim<=0.6 (+0)",5,71.04,tourist_attraction,Central Phitsanulok เมืองพิษณุโลก พิษณุโลก ประเทศไทย,เซ็นทรัล พิษณุโลก, ศูนย์การค้าไลฟ์สไตล์ช้อปปิ้งเซ็นเตอร์แห่งใหม่ล่าสุดของภาคเหนือ     ด้วยสถาปัตยกรรมการออกแบบล้านนาที่เป็นเอกลักษณ์แปลกตาด้วยแรงบันดาลใจ     จากการเจาะฉลุผสมผสานกับรูปแบบกราฟฟิกประยุกต์ ภายในศูนย์ฯ ประกอบด้วย     ห้างสรรพสินค้าโรบินสัน ท็อปส์ มาร์เก็ต บีทูเอส เพาเวอร์บาย ซูเปอร์สปอร์ต ออฟฟิศเมท     รวมไปถึงแหล่งบันเทิงครบวงจร อาทิ โรงภาพยนตร์ และร้านค้าชั้นนำ ,"shopping_mall, food_court, restaurant, food, point_of_interest, establishment","9 99 หมู่ที่ 5 ถ. สิงหวัฒน์ พลายชุมพล อำเภอ เมือง, พิษณุโลก 65000","{'latitude': 16.8403047, 'longitude': 100.2334904}",4.5,6345.0,ChIJSbHsejS93zAR0ksm2h-sRks,https://maps.google.com/?cid=5424212054018247634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
34,ไม่ตรง,"distance<5km (+2), name_sim<=0.6 (+0)",2,1050.56,tourist_attraction,สวนสิทธิกร บ้านห้วยสำราญ เมืองอุดรธานี อุดรธานี ประเทศไทย,สวน สิทธิกร บ้านเลขที่ 140/1หมู่ที่ 9 บ้านดอกไม้ ห้วยสำราญ,สวนสิทธิกร บ้านห้วยสำราญ  และในโรงเรียนบ้านห้วยสำราญ ซึ่งตั้งอยู่ในอำเภอเมืองอุดรธานี ที่นี่มีทั้ง  คัตเตอร์ขาว เบญจมาศ ดาวเรือง ให้ได้ถ่ายภาพพร้อมพรอพสุดเก๋มากมาย ใครอยู่ในโซนภาคอีสานหรือไปเที่ยวอุดร หนองคาย แว่บมาชมสวนดอกไม้ที่นี่สักหน่อย รับรองฟินไม่แพ้กัน บ้านห้วยสำราญ เป็นแหล่งท่องเที่ยวเชิงเกษตรแห่งใหม่ของจังหวัดอุดรธานี อยู่ในอำเภอเมือง จังหวัดอุดรธานี โดยมีเกษตรกรปลูกไม้ดอกไม้ประดับหลากหลายพันธุ์ เช่น เบญจมาศ ดาวเรือง ดอกพุด คัตเตอร์กุหลาบป็นต้น โดยมีการเปิดสวนให้นักท่องเที่ยวได้เข้าชมและถ่ายภาพในช่วงเดือนมกราคม – มีนาคม แต่ที่อุดรมีสวนไม่เยอะมากเหมือนเชียงใหม่ ตอนนี้ที่เปิดให้เข้าขมอย่างเป็นทางการ คือ สวนสิทธิกร และยังมีแปลงดอกไม้ซึ่งเป็นที่สถานที่จัดงานดอกไม้อีกหนึ่งจุด คือ โรงเรียนบ้านห้วยสำราญ ซึ่งตั้งอยู่ใกลกัน เรามุ่งตรงมาที่สวนสิทธิกร กันแต่เช้า ประมาณ 7 .30 น. เพื่อให้ได้แสงอุ่นของแดด แนะนำว่าควรมาก่อน  8.30 น.  หรือช่วงบ่ายแก่ๆไปเลย เพราะในช่วงเวลาอื่นแดดจะแรงมาก ถ่ายรูปมาแสงจะแข็งไม่สวยเท่าช่วงแสงอ่อน,"market, point_of_interest, establishment",140/1 หนองไฮ ตำบล หนองไฮ เมือง อุดรธานี 41000,"{'latitude': 17.3048762, 'longitude': 102.6752844}",4.4,55.0,ChIJferAjYWZIzERdGjOqSqQjy4,https://maps.google.com/?cid=3355058760326211700&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
36,ไม่ตรง,"distance>=10km (+0), name_sim>0.75 (+2)",2,38596.24,tourist_attraction,กองหินเพลิง แกลง ระยอง ประเทศไทย,น้ำตกคลองหินเพลิง, ที่เขาเรียกว่า  กองหินเพลิง  เนื่องจากมีกองปะการังที่มีขนาดใหญ่โต ทำให้ท้องทะเลเป็นสีเหลืองดูเหมือนไฟกำลังรุกไหม้ อยู่ใต้ทะเล นั้นเอง  ,"tourist_attraction, point_of_interest, establishment",WQXF+JMW ตำบล น้ำเป็น อำเภอ เขาชะเมา ระยอง 21110,"{'latitude': 12.949114199999999, 'longitude': 101.7741934}",3.8,11.0,ChIJXWcVMaBBAzERH5HLoktJVRQ,https://maps.google.com/?cid=1465157842981589279&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
45,ไม่ตรง,"distance<1km (+3), name_sim>0.6 (+1), district_match (+2)",6,744.93,tourist_attraction,คลองสระแก้ว เมืองกระบี่ กระบี่ ประเทศไทย,ล่องคลองสระแก้ว (ทางเข้า),           เป็นลำธารน้ำจืดที่ใสสามารถมองเห็นปลาและพื้นดินในลำคลองท่ามกลางป่าธรรมชาติของและป่าพรุที่อุดมสมบูรณ์  นักท่องเที่ยวนิยมมาเล่นน้ำ ล่องห่วงยาง พายเรือไปตามคลองสระแก้ว     ,"tourist_attraction, point_of_interest, establishment","เลขที่ 71/1 หมู่ 1, ต.เขาทอง อ.เมืองกระบี่ จ.กระบี่, 81000 ตำบล เขาทอง อำเภอเมืองกระบี่ กระบี่ 81000","{'latitude': 8.1626324, 'longitude': 98.80496629999999}",4.3,230.0,ChIJW9tZX7G9UTARtzDwhj4OQlE,https://maps.google.com/?cid=5855258127249715383&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
47,ไม่ตรง,"distance<200m (+5), name_sim>0.6 (+1)",6,4.05,tourist_attraction,พระโพธิสัตว์เจ้าแม่กวนอิม เมืองสุราษฎร์ธานี สุราษฎร์ธานี ประเทศไทย,เจ้าแม่กวนอิม,   ประวัติโดยสังเขปที่มาของการก่อสร้างองค์เจ้าแม่กวนอิม นายธีระกิจ หวังมุทิตากุล ประธานมูลนิธิมุทิตาจิตธรรมสถาน เปิดเผยว่า ตามที่มูลนิธิมุทิตาจิตธรรมสถาน จังหวัดสุราษฎร์ธานี     ที่ได้รับบัญชาจากองค์โป๊ยเซียนโจวซือ ให้สร้างเทวสถานดาวนพเคราะห์ (เก้าแชเต้ง) และองค์พระมหาโพธิสัตว์กวนอิมด้วยแกรนิตขาว ที่มีองค์สูง 12 เมตร นับได้ว่าสูงที่สุดในประเทศไทย     คณะกรรมการมูลนิธิมุทิตาจิตธรรมสถาน ได้ประสานไปยังผู้มีจิตศรัทธาทั้งในจังหวัดและต่างจังหวัด จากศรัทธา และจิตอันเป็นกุศลของพุทธศาสนิกชนไทย จีน จากทั่วสารทิศเข้ามาอย่างไม่ขาดสาย จึงสามารถดำเนินการก่อสร้างเทวสถานดาวนพเคราะห์ (เก้าแชเต้ง) และองค์พระมหาโพธิสัตว์กวนอิมได้อย่างสง่างาม ใจกลางเมืองสุราษฎร์ธานี ด้วยงบประมาณกว่า 40 ล้านบาท โดยใช้เวลาในการก่อสร้าง 5 ปี ซึ่งได้สร้างความภาคภูมิใจให้แก่ผู้มีส่วนร่วมในการดำเนินการก่อสร้างเป็นอย่างยิ่ง และเชื่อว่า เทวสถานดาวนพเคราะห์ (เก้าแชเต้ง) และองค์พระมหาโพธิสัตว์กวนอิม รวมไปถึงองค์โป๊ยเซียนโจวซือ เป็นอีกหนึ่งสถานที่สำหรับพุทธศาสนิกชนไทย จีน ทั้งในและต่างจังหวัด รวมไปถึงนักท่องเที่ยวได้มาสักการะอีกแห่งหนึ่งของจังหวัดสุราษฎร์ธานี          ,"place_of_worship, point_of_interest, establishment",614 ถนน หน้าเมือง ตลาด อ.เมือง สุราษฎร์ธานี 84000,"{'latitude': 9.1461341, 'longitude': 99.32768}",4.7,27.0,ChIJHYlyWmMGVDAR_TydnNN412w,https://maps.google.com/?cid=7842870126349991165&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
57,ไม่ตรง,"distance>=10km (+0), name_sim<=0.6 (+0), district_match (+2)",2,17467.64,tourist_attraction,สวนแม่หม่อนจากมัลเบอรร์รี่ วังน้ำเขียว นครราชสีมา ประเทศไทย,สวนแม่หม่อน ฟาร์ม แอนด์ คาเฟ่ วังน้ำเขียว,มีสวนแม่หม่อนจากมัลเบอร์รี่ สวนต้นวนิลาและไอติมโฮมเมด,"coffee_shop, cafe, tourist_attraction, food_store, store, food, point_of_interest, establishment","14°24'15.0""N 101°41'19.4""E, ตำบล วังหมี อำเภอวังน้ำเขียว นครราชสีมา 30370","{'latitude': 14.4041665, 'longitude': 101.68918889999999}",4.6,572.0,ChIJr8Z428g_HDERAr44DMRlWow,https://maps.google.com/?cid=10113507805906910722&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
59,ไม่ตรง,"distance<500m (+4), name_sim<=0.6 (+0), district_match (+2)",6,237.02,tourist_attraction,กาดบ้านฮ่อ เมืองเชียงใหม่ เชียงใหม่ ประเทศไทย,กาดนัดจีนยูนาน (กาดบ้านฮ่อ),เป็นอีกหนึ่งกาดที่มีความแตกต่างไม่เหมือนใคร ที่ตั้งจะอยู่บนถนนเจริญประเทศซอย 1 กาดบ้านฮ่อ เปิดเฉพาะวันศุกร์เท่านั้น ตั้งแต่ 06.00 &ndash; 12.00 น. ชาวบ้านส่วนใหญ่ที่นำของมาขายคือชาวมุสลิมที่มีวัฒธรรมและการใช้ชีวิตความเป็นอยู่คล้ายกับชาวจีนในสมัยก่อน เมื่อเดินเข้าไปในกาดบ้านฮ่อนี้ จะได้พบกับอาหารนานาชนิด ผักสดแปลกตา อาหารที่เหมือนจะกินไม่ได้ แต่พอได้ลิ้มลองแล้วต้องบอกเลยว่าอร่อยมาก,"market, point_of_interest, establishment",ท่าแพ ซอย 1 ตำบลช้างคลาน อำเภอเมืองเชียงใหม่ เชียงใหม่ 50100,"{'latitude': 18.787469299999998, 'longitude': 98.99987890000001}",4.5,591.0,ChIJN0Mh_KU62jAR0EJ00SfYibw,https://maps.google.com/?cid=13585627416469193424&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
