original_index,match_result,score_reasons,score,distance_m,expected_type,textQuery,api_name,original_detail,api_types,api_formattedAddress,api_location,api_rating,api_userRatingCount,api_placeId,api_URI
0,ไม่แน่ใจ (ต้องตรวจซ้ำ),"distance<200m (+5), name_sim>0.6 (+1), district_match (+2)",8,126.36,tourist_attraction,เสาหินบะซอลต์ นางรอง บุรีรัมย์ ประเทศไทย,เสาหินบะซอลต์ภูเขาไฟบุรีรัมย์,เสาหินบะซอลล์ภูเขาไฟ หรือ แกรนด์แคนยอนบุรีรัมย์ ตั้งอยู่บ้านโคกมะค่าโหรน ตำบลสะเดา เกิดจากการขุดพบโดยบังเอิญในการทำบ่อกักเก็บน้ำของหมู่บ้าน จึงเป็นแหล่งที่มาของเสาหินบะซอลต์ขนาดใหญ่ ที่มีความสมบูรณ์ มีลายริ้วหินเป็นชั้น ๆ โดยเสาหินบะซอลต์นั้น เกิดจากหินอัคนีที่แตกแยกเป็นแท่งยาวคล้ายกับเสาตั้งเรียงต่อขนานกัน ในแต่ละเสามีหน้าตัดเป็นรูปเหลี่ยม ๆ เกิดจากการเย็นตัวและแข็งตัวของหินหนืดหรือลาวา โดยในขณะที่เย็นตัวก็จะมีการหดตัวเกิดขึ้น ทำให้เกิดเป็นรอยแยกรูปเสาตามที่ปรากฏ ที่อยู่ : บ้านโคกมะค่าโหรน หมู่ 12 ตำบลสะเดา อำเภอนางรอง จังหวัดบุรีรัมย์ พิกัด :  https://goo.gl/maps/hNtmKqKjh8MSn4NK7   เปิดให้เข้าชม : สามารถเข้าชมได้ตลอดทั้งวัน    ,"park, point_of_interest, establishment",HRM4+5H5 บ้านโคกมะค่าโหรน ตำบล สะเดา อำเภอนางรอง บุรีรัมย์ 31110,"{'latitude': 14.582883, 'longitude': 102.806497}",4.1,61.0,ChIJoTTUOYwtGjERMkF-YwM5fR8,https://maps.google.com/?cid=2269032473981501746&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
4,ไม่แน่ใจ (ต้องตรวจซ้ำ),"distance<200m (+5), name_sim>0.6 (+1), district_match (+2)",8,8.12,tourist_attraction,องค์ศรีสุขคเณศ เมืองอุดรธานี อุดรธานี ประเทศไทย,องค์ศรีสุขเณศ อุดรธานี, องค์ศรีสุขคเณศ  พระพิฆเนศ ปางนาคปรก เป็น  พระพิฆเนศ  องค์แรกที่รวมบารมีกับสิ่งศักดิ์สิทธิ์คู่บ้านคู่เมืองอุดรธานี  พ่อปู่ศรีสุทโธ  ที่เป็นเอกลักษณ์ของจังหวัดอุดรธานี    พระพิฆเณศวร 8 กร นาคปรก 9 เศียร องค์นี้เป็น พระพิฆเนศ  ที่มีแปดกร ซึ่งแต่ละกรจะทรงถือสิ่งของแปดอย่าง แต่ละอย่างแฝงความหมายตาม  มรรคแปด  รังสรรค์ขึ้นโดย อ.ราชัน แสงทอง ศิลปินที่มีชื่อเสียงระดับโลก โดยมาจากแนวคิด ศรัทธาแห่งความสำเร็จ เป็นการนำ  พระพิฆเณศวร  มาผสมผสานพลังศรัทธา  พ่อปู่ศรีสุทโธ  เป็นมหามงคลแห่งความสุข ความสำเร็จทั้งปวง และยังเป็นเอกลักษณ์เฉพาะอุดรธานี หนึ่งเดียวในโลก โดยตั้งอยู่ข้างรั้วด้านหลังของวิทยาลัยอาชีวศึกษาอุดรธานี ถนนโพศรี เขตเทศบาลนครอุดรธานี สำหรับการสักการะ  องค์ศรีสุขคเนศ  จำนวนธูปที่ใช้จุดบูชาโดยปกติ จะใช้ ธูป หรือ กำยาน อย่างใดอย่างหนึ่ง หรือทั้งสองอย่าง พวงมาลัยดอกดาวเรือง กล้วย อ้อยหรือน้ำอ้อย มะม่วงสุก เมล็ดงา มะขวิด ทับทิม นมสดและนมเปรี้ยว ขนมต้มแดง ขนมต้มขาว งดเว้นอาหารคาว,"place_of_worship, point_of_interest, establishment",25 ถ. โพศรี ตำบล บ้านเลื่อม อำเภอเมืองอุดรธานี อุดรธานี 41000,"{'latitude': 17.4114213, 'longitude': 102.78063709999999}",4.9,10.0,ChIJsxKc5UmdIzERq_9q200D3go,https://maps.google.com/?cid=783067018137632683&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
8,ไม่แน่ใจ (ต้องตรวจซ้ำ),"distance<200m (+5), name_sim<=0.6 (+0), district_match (+2)",7,13.78,tourist_attraction,ผาเหนือเมฆ วังวิเศษ ตรัง ประเทศไทย,ผาเหนือเมฆ PhaNhuaMek Extreme Adventures,    ผาเหนือเมฆ ตั้งอยู่ในพื้นที่หมู่ที่ 12 บ้านห้วยใหญ่ ตำบลอ่าวตง อำเภอวังวิเศษ ชมทะเลหมอก อาบป่าฟอกปอดในอ้อมกอดธรรมชาติ  เดินป่าชมผาเหนือเมฆ ทะเลหมอก ชมวิว 360 องศา ผาหินตั้ง ปีนเขาสัมผัสหมอกผาปักธง จิบกาแฟลานสมาธิ                                                              แหล่งท่องเที่ยวที่ชาวบ้านร่วมมือกัน นำเสนอ สายลุยห้ามพลาด  ทะเลหมอก 360 องศา จิบกาแฟแลหมอกบนยอดเขา                        ค่านำทาง 500 บาท     ค่าอาหารเช้า คนละ 100 บาท    ค่าอาหารเที่ยง อาหารพื้นบ้านตามฤดูกาล คนละ 250บาท     ค่ารถนำเที่ยวขึ้น ลง คนละ 300 บาท,"point_of_interest, establishment",R947+HM2 ทางหลวงชนบท ตรัง 5157 ตำบล อ่าวตง อำเภอ วังวิเศษ ตรัง 92220,"{'latitude': 7.806385000000001, 'longitude': 99.364138}",3.0,1.0,ChIJ0ZPtT9MFUjARCXchV_NrLj8,https://maps.google.com/?cid=4552694966201186057&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
10,ไม่แน่ใจ (ต้องตรวจซ้ำ),"distance<200m (+5), name_sim<=0.6 (+0), district_match (+2)",7,54.24,tourist_attraction,Miracle of Natural เมืองระยอง ระยอง ประเทศไทย,สวนดอกไม้เมืองหนาวระยอง,,"garden, park, point_of_interest, establishment",8 2 ซอย โรงปุ๋ย ตำบล มาบตาพุด อำเภอเมืองระยอง ระยอง 21150,"{'latitude': 12.6831783, 'longitude': 101.11609879999999}",4.7,1997.0,ChIJczKfPGfxAjERjVRGVAe8cak,https://maps.google.com/?cid=12209746804442813581&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
12,ไม่แน่ใจ (ต้องตรวจซ้ำ),"distance<200m (+5), name_sim<=0.6 (+0), district_match (+2)",7,0.0,tourist_attraction,เกาะกวาง แหลมสิงห์ จันทบุรี ประเทศไทย,Ko Kwang,กาะกวาง จันทบุรี เป็นเกาะเล็กๆห่างจากชายฝั่งประมาณ 1.5 กิโลเมตร มีจุดถ่ายรูปสวยๆหลายจุด มีชิงช้าให้นั่งเล่น สามารถกางเต๊นส์ได้ มีแนวประการังน้ำตื้น ควรท่องเที่ยวช่วงเดือนกันยายน พฤษภาคม  ,"natural_feature, establishment",Ko Kwang ตำบล เกาะเปริด อำเภอ แหลมสิงห์ จันทบุรี 22130,"{'latitude': 12.3958333, 'longitude': 102.13305559999999}",4.6,13.0,ChIJxZvOowl5BDERCd8VvF0dKgs,https://maps.google.com/?cid=804487771863768841&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
25,ไม่แน่ใจ (ต้องตรวจซ้ำ),"distance<200m (+5), name_sim>0.6 (+1), district_match (+2)",8,12.77,market,ตลาดร่มพญาไม้ เมืองราชบุรี ราชบุรี ประเทศไทย,วัดพญาไม้,ตลาดวิถีชุมชน  ร่มพญาไม้  เปิดให้บริการทุกวันเสาร์ วันอาทิตย์ และวันหยุดนักขัตฤกษ์ ประชาชนและนักท่องเที่ยว สามารถเดินทางมาเที่ยวชม ทำกิจกรรมตักบาตรพระสงฆ์ที่พายเรือบิณฑบาตทางน้ำได้ตั้งแต่เวลา 07.00 น.   08.00 น. ร่วมอุดหนุนสินค้าชุมชนในตลาดร่มพญาไม้ มีบริการล่องเรือไหว้พระท่องเที่ยวทางน้ำ และสักการะสิ่งศักดิ์สิทธิ์ภายในบริเวณวัดพญาไม้ คือ หลวงพ่อตามใจ องค์ท้าวเวชสุวรรณ ฯลฯ ,"tourist_attraction, place_of_worship, point_of_interest, establishment",38 1 ซอย 6 ตำบล โคกหม้อ อำเภอเมืองราชบุรี ราชบุรี 70000,"{'latitude': 13.5538403, 'longitude': 99.8196287}",4.5,273.0,ChIJuckXRP0l4zARGhBuK3arSdI,https://maps.google.com/?cid=15152830945287868442&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
38,ไม่แน่ใจ (ต้องตรวจซ้ำ),"distance<200m (+5), name_sim<=0.6 (+0), district_match (+2)",7,0.0,tourist_attraction,ทุ่งปอเทือง ทุ่งทานตะวัน  ตากฟ้า นครสวรรค์ ประเทศไทย,ไร่ธรรมชัย ทุ่งดอกปอเทือง,ช่วงเดือนพฤศจิกายน   ต้นมกราคม ของทุกปี จะเป็นฤดูกาลของ ทุ่งปอเทืองและทุ่งทานตะวัน อ.ตากฟ้า จ.นครสวรรค์ ช่วงเวลาดังกล่าวเป็นการปลูกพืชทดแทนดินที่เสื่อมสภาพจากการเพราะปลูกมาตลอดทั้งปี โดยการปลูกปอเทืองและทานตะวันเกือบทุกแปลงใน อ.ตากฟ้า มีความสวยงามเหลืองอร่าม จึงกลายเป็นแหล่งท่องเที่ยวมีความสวยงาม เหล่านี้นับเป็นการร่วมมือร่วมใจของชาวบ้าน ที่ต้องการประชาสัมพันธ์   ให้พื้นที่ดังกล่าวกลายเป็นแหล่งท่องเที่ยว ที่ยังคงกลิ่นอายความบริสุทธิ์ของธรรมชาติ ท่ามกลางวิถีชีวิตของชาวบ้าน และสามารถถ่ายรูปได้แบบไม่อั้นอีกด้วย,"tourist_attraction, botanical_garden, park, point_of_interest, establishment",บ้านพุลำใย ตำบล ลำพยนต์ อำเภอ ตากฟ้า นครสวรรค์ 60190,"{'latitude': 15.3544874, 'longitude': 100.56557049999999}",4.4,322.0,ChIJeYA_9nDX4TARUSAGaA6xGWk,https://maps.google.com/?cid=7573278923833090129&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
39,ไม่แน่ใจ (ต้องตรวจซ้ำ),"distance<200m (+5), name_sim<=0.6 (+0), district_match (+2)",7,0.73,tourist_attraction,เนเจอร์วอล์คเวย์ สิรินธร อุบลราชธานี ประเทศไทย,สกายวอล์คเขื่อนสิรินธร,,"tourist_attraction, point_of_interest, establishment",6C3P+8QV ตำบล คำเขื่อนแก้ว อำเภอ สิรินธร อุบลราชธานี 34350,"{'latitude': 15.203355300000002, 'longitude': 105.43690819999999}",4.5,1032.0,ChIJCcLDrn5LFDER-t1AHIkOXUg,https://maps.google.com/?cid=5214339925612223994&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
43,ไม่แน่ใจ (ต้องตรวจซ้ำ),"distance<200m (+5), name_sim>0.6 (+1), district_match (+2)",8,4.0,tourist_attraction,โรงบ่ม ริมน้ำน่าน บ้านดอนตัน ท่าวังผา น่าน ประเทศไทย,โรงบ่มริมน้ำน่าน,    โรงบ่ม ริมน้ำน่าน บ้านดอนตัน อ.ท่าวังผา จ.น่าน            อีกหนึ่งสถานที่น่าพักผ่อนหย่อนใจ ออกไปสัมผัสบรรยากาศดีๆ ในตอนเช้าๆ โต้ลมหนาวเบาๆ หามุมนั่งเล่น จิบชา กาแฟ ชิมขนม เบเกอรี่ และฟิซซ่า      ท่ามกลางแมกไม้น้อยใหญ่ แผ่กิ่งก้าน ปกคลุมพื้นที่เขียวสด ร่มรื่นไปทั่วบริเวณ            สถานที่กว้างขวาง มีพื้นที่ให้เดินเล่น ลัดเลาะดูโรงนา โรงบ่มยา เครื่องใช้ไม้สอยเก่าๆ อาคารทรงเก๋ๆ      ภายในมีโฮมสเตย์ เป็นบ้านไม้ กลิ่นไอคาวบอยตะวันตก ใกล้ชิดติดริมน้ำน่าน      เปิดพื้นที่ให้ผู้สนใจให้เช่าจัดงานเลี้ยง งานแต่งงาน งานอีเว้นท์ต่างๆ ไปถ่ายรูปกับโรงบ่ม ต้นไม้ฉำฉาขนาดใหญ่ ปกคลุมไปด้วยกล้วยไม้ เฟิร์น ปูพรมไปด้วยสนามหญ้าเขียวๆ เต็มพื้นที่            การเดินทาง จาก อ.เมืองน่าน ใช้เส้นทางสาย 101 ไป อ.ท่าวังผา ระยะทาง 32 กม. ข้ามสะพานน้ำน่าน ผ่านหมวดทางหลวงท่าวังผา เลี้ยวขวามือ ใช้ทางหลวงชนท นน.1336 ไปบ้านดอนตัน ประมาณ 5 กม. ถึงบ้านดอนตัน เลยวัดดอนตันไปมีป้ายบอกทาง เลี้ยวซ้ายมือเข้าไปโรงบ่ม ริมน้ำน่าน      ,"coffee_shop, cafe, lodging, food_store, store, food, point_of_interest, establishment",189 หมู่ 10 ตำบล ศรีภูมิ อำเภอ ท่าวังผา น่าน 55140,"{'latitude': 19.0555003, 'longitude': 100.7785193}",4.6,79.0,ChIJB3xN7ZXxJzER3mZUGf_YrmY,https://maps.google.com/?cid=7399089827969525470&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
48,ไม่แน่ใจ (ต้องตรวจซ้ำ),"distance<200m (+5), name_sim<=0.6 (+0), district_match (+2)",7,0.0,tourist_attraction,ชุมชนเกาะลัดอีแท่น สามพราน นครปฐม ประเทศไทย,เกาะลัดอีแท่น บางเตย สามพราน นครปฐม, เกาะลัดอีแท่น  เกิดจากการขุดคลอง ซึ่งปากคลองอยู่บริเวณตำบลทรงคนอง ไปทะลุอีกด้านของแม่น้ำท่าจีน กลายเป็นเกาะลัดอีแท่น ประกอบด้วยพื้นที่ 4 ตำบล คือ ตำบลไร่ขิง ตำบลบางเตย ตำบลทรงคนอง และตำบลท่าตลาด เป็นแหล่งท่องเที่ยวเกษตรผสมผสานวัฒนธรรม ต้นกำเนิดของส้มโอนครชัยศรีพันธุ์ขาวน้ำผึ้ง พันธุ์ทองดี และขนุนเหลืองบางเตย   มีกิจกรรมท่องเที่ยว คือ การนั่งรถรางหรือปั่นจักรยาน เที่ยวชมแหล่งท่องเที่ยวภายในชุมชน ได้แก่      ชมการเก็บหมาก : การปีนต้นหมากที่เรียกว่า  ตีต้น  ด้วยการ โผจากต้นหนึ่งไปอีกต้นหนึ่ง (Unseen New Chapter ของจังหวัดนครปฐม)      ชมสวนส้มโอ GI : ชิมอาหารและขนมเมนูส้มโอ ผลิตภัณฑ์ต่างๆ จากส้มโอ โดยมีการรวมตัวของคนในชุมชน จัดตั้งเป็นกลุ่มแบรนด์  ส้มโอซีรีส์  พัฒนาต่อยอดผลิตภัณฑ์ต่างๆ จากส้มโอ      อารามไท่เสวียนก้วน มูลนิธิเต๋าธรรมะสยาม : วัดศาสนาเต๋า ตามความเชื่อของจีนแห่งเดียวในไทย      วัดทรงคนอง : วัดเก่าแก่อายุกว่า 300 ปี เป็นวัดแห่งที่สอง ของอำเภอสามพราน สักการะหลวงพ่อโป๋หลุย พระพุทธรูปหินทรายแดงที่สร้างในสมัยอยุธยา      ไร่แสนรักษ์ : ศูนย์การเรียนรู้เกษตรอินทรีย์ ชมสวนผลไม้ และจุดจำหน่ายสินค้า/ผลไม้ในชุมชน      บ้านสวนบางเตยโฮมสเตย์ : ที่พักริมแม่น้ำนครชัยศรี มีทั้งบ้านพักทรงไทย และบ้านพักที่ดัดแปลงจากเรือเอี้ยมจุ๊น      ได้รับเกียรติบัตรรางวัลอุตสาหกรรมท่องเที่ยวไทย ประเภทแหล่งท่องเที่ยว สาขาแหล่งท่องเที่ยวชุมชน   ของการประกวด Thailand Tourism Awards ครั้งที่ 14 ประจำปี 2566,"community_center, event_venue, point_of_interest, establishment",Q74F+M9V ตำบล บางเตย อำเภอสามพราน นครปฐม 73210,"{'latitude': 13.756728299999999, 'longitude': 100.2734359}",4.5,46.0,ChIJ1xZB0tqU4jARdyp71DBqy2I,https://maps.google.com/?cid=7118900393945016951&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
